x,kde,ekf_gaussian
-18.450166976956652,0.00028909056711376907,0.058372725553149554
-18.425296750485369,0.00029470934814446577,0.05953511408080258
-18.400426524014087,0.00030034965479856367,0.060711053039133316
-18.375556297542801,0.00030600859028430107,0.061900434708367584
-18.350686071071522,0.00031168318803707554,0.063103142813844437
-18.325815844600235,0.00031737041401727275,0.064319052432649571
-18.300945618128953,0.00032306716915652143,0.065548029905322838
-18.27607539165767,0.00032877029195112114,0.066789932752831849
-18.251205165186384,0.00033447656120098136,0.068044609598985395
-18.226334938715105,0.0003401826988921538,0.069311900098467452
-18.201464712243819,0.00034588537322070536,0.070591634870670231
-18.176594485772537,0.00035158120175532253,0.071883635439490751
-18.151724259301254,0.00035726675473579021,0.073187714179269267
-18.126854032829968,0.000362938558504093,0.074503674267026809
-18.101983806358689,0.00036859309906462224,0.075831309641166023
-18.077113579887403,0.00037422682576965444,0.077170404966794545
-18.05224335341612,0.0003798361551259172,0.078520735607815945
-18.027373126944838,0.00038541747471782921,0.079882067605944587
-18.002502900473552,0.00039096714724262585,0.081254157666779556
-17.977632674002269,0.00039648151465234419,0.082636753153077183
-17.952762447530986,0.0004019569023973479,0.084029592085355223
-17.927892221059704,0.00040738962376577327,0.08543240314995007
-17.903021994588421,0.00041277598431304794,0.086844905714649312
-17.878151768117135,0.00041811228637535599,0.088266809852011185
-17.853281541645853,0.00042339483366068124,0.089697816370475969
-17.82841131517457,0.00042861993591084463,0.091137616853371517
-17.803541088703284,0.0004337839136277038,0.092585893705900979
-17.778670862232005,0.00043888310285649751,0.09404232021019869
-17.753800635760719,0.00044391386001912855,0.095506560588534697
-17.728930409289436,0.00044887256678996073,0.096978270074728395
-17.704060182818154,0.00045375563500660618,0.098457094993842822
-17.679189956346868,0.00045855951160796409,0.099942672850203848
-17.654319729875589,0.00046328068359168385,0.10143463242379155
-17.629449503404302,0.00046791568298310264,0.10293259387504292
-17.60457927693302,0.00047246109180757969,0.10443616885808343
-17.579709050461737,0.00047691354705812019,0.1059449606424166
-17.554838823990451,0.00048126974565006539,0.10745856424307099
-17.529968597519172,0.00048552644935461397,0.10897656655920777
-17.505098371047886,0.00048968048970290782,0.110498546521181
-17.480228144576603,0.00049372877285238249,0.11202407524602345
-17.455357918105321,0.00049766828440713786,0.11355271620133815
-17.430487691634035,0.00050149609418406195,0.11508402537754904
-17.405617465162752,0.00050520936091652785,0.11661755146846405
-17.38074723869147,0.00050880533688753304,0.11815283606009437
-17.355877012220187,0.00051228137248423146,0.11968941382765623
-17.331006785748905,0.00051563492066592192,0.12122681274067963
-17.306136559277618,0.00051886354133767331,0.12276455427613407
-17.281266332806336,0.00052196490562190568,0.1243021536394706
-17.256396106335053,0.00052493680002039915,0.12583911999347494
-17.231525879863767,0.00052777713045939394,0.12737495669480742
-17.206655653392488,0.0005304839262106055,0.1289091615381027
-17.181785426921202,0.00053305534368122654,0.13044122700749294
-17.156915200449919,0.00053548967006616314,0.13197064053539664
-17.132044973978637,0.00053778532685604358,0.13349688476842461
-17.107174747507351,0.00053994087319474224,0.13501943784022499
-17.082304521036072,0.00054195500908046565,0.13653777365109268
-17.057434294564786,0.0005438265784047068,0.13805136215415642
-17.032564068093503,0.00054555457182367138,0.13955966964793892
-17.007693841622221,0.00054713812945709648,0.1410621590750917
-16.982823615150934,0.00054857654340967614,0.14255829032708098
-16.957953388679655,0.00054986926011065299,0.14404752055460171
-16.933083162208369,0.00055101588246746138,0.14552930448348894
-16.908212935737087,0.00055201617182964622,0.14700309473587514
-16.883342709265804,0.00055287004975964889,0.14846834215635266
-16.858472482794518,0.00055357759960738065,0.14992449614287387
-16.833602256323235,0.00055413906788589486,0.15137100498212444
-16.808732029851953,0.00055455486544581318,0.15280731618909704
