x,kde,ekf_gaussian
-19.051272598250694,0.0023944647468565092,0.034543038669746666
-19.019058503759567,0.002451128296394098,0.035611331497595822
-18.986844409268436,0.0025088611318317272,0.036702928621504906
-18.954630314777305,0.0025676758065202136,0.037817956654574832
-18.922416220286177,0.0026275848144110799,0.038956527153130943
-18.890202125795049,0.0026886005832338811,0.04011873603924767
-18.857988031303918,0.0027507354675512167,0.041304663026846315
-18.825773936812787,0.0028140017416930173,0.042514371052400204
-18.793559842321656,0.0028784115925721012,0.043747905711304734
-18.761345747830529,0.0029439771123829076,0.045005294700987644
-18.729131653339401,0.0030107102911855234,0.046286547271857444
-18.69691755884827,0.0030786230093770794,0.047591653687201529
-18.664703464357139,0.0031477270300531894,0.048920584693163537
-18.632489369866011,0.0032180339912618182,0.050273290999942273
-18.600275275374884,0.003289555398152063,0.051649702775364903
-18.568061180883753,0.0033623026150209467,0.053049729151995968
-18.535847086392621,0.0034362868572608263,0.054473257748951849
-18.503632991901494,0.0035115191832108738,0.055920154209594862
-18.471418897410366,0.0035880104859154715,0.057390261756281966
-18.439204802919235,0.0036657714847930381,0.058883400763342843
-18.406990708428104,0.0037448127172188773,0.06039936834946015
-18.374776613936977,0.0038251445300254419,0.061937937990619529
-18.342562519445849,0.0039067770709240801,0.063498859154787618
-18.310348424954718,0.0039897202798519155,0.065081856959464904
-18.278134330463587,0.00407398388024806,0.066686631853248635
-18.245920235972459,0.0041595773702633679,0.068312859322524191
-18.213706141481328,0.0042465100139080451,0.069960189624383093
-18.181492046990201,0.0043347908321413834,0.071628247546842438
-18.149277952499069,0.0044244285939087869,0.073316632197421891
-18.117063858007938,0.0045154318071300376,0.075024916821096868
-18.084849763516811,0.0046078087096444531,0.076752648648625743
-18.052635669025683,0.0047015672601174625,0.078499348776209218
-18.020421574534552,0.0047967151289139308,0.080264512077404718
-17.988207480043421,0.0048932596889433742,0.082047607148180893
-17.955993385552294,0.0049912080064827618,0.0838480762859556
-17.923779291061166,0.0050905668319820704,0.085665335503414486
-17.891565196570035,0.0051913425908585269,0.08749877457785929
-17.859351102078904,0.0052935413742850306,0.089347757136787526
-17.827137007587776,0.0053971689299790338,0.091211620780351207
-17.794922913096649,0.005502230652997449,0.09308967724128657
-17.762708818605518,0.0056087315765442208,0.09498121258284857
-17.730494724114386,0.005716676362795989,0.096885487435225459
-17.698280629623259,0.0058260692937531586,0.098801737270846526
-17.666066535132131,0.0059369142621221241,0.10072917271893027
-17.633852440641,0.0060492147622353424,0.10266697991955322
-17.601638346149869,0.0061629738810160149,0.104614320917453
-17.569424251658738,0.006278194288993932,0.10657033409570961
-17.53721015716761,0.0063948782313794292,0.10853413464937299
-17.504996062676483,0.0065130275192022708,0.11050481509903652
-17.472781968185352,0.0066326435205224434,0.11248144584427609
-17.440567873694221,0.0067537271517197212,0.11446307575680251
-17.408353779203093,0.0068762788688697006,0.11644873281309645
-17.376139684711966,0.0070002986592125364,0.1184374247662167
-17.343925590220834,0.0071257860327226669,0.12042813985639209
-17.311711495729703,0.0072527400137857509,0.12241984755993121
-17.279497401238576,0.007381159132991184,0.12441149937590354
-17.247283306747448,0.0075110414190466867,0.12640202964996394
-17.215069212256317,0.0076423843908231259,0.12839035643461311
-17.182855117765186,0.0077751850495361248,0.13037538238510729
-17.150641023274058,0.0079094398710731414,0.13235599569015297
-17.118426928782931,0.0080451447984721796,0.13433107103644013
